시도,구군,행정구역명,하수처리장명,하수처리 시설용량,처리구역면적_합,처리구역면적_합류식,처리구역면적_분류식,분류식화율,배수설비_합계(개소),배수설비_합류식(개소),배수설비_분류식합계(개소),배수설비_분류식연결(개소),배수설비_분류식미연결(개소),하수관로_총시설연장,하수관로_차집_오수간선합계,하수관로_차집,하수관로_오수간선,하수관로_합류식우수토실(개소),하수관로_분류식우수토실(개소),하수관로_분류식우수토구(개소),하수관로_지선합계,하수관로_지선합류식,하수관로_지선분류식우수,하수관로_지선분류식오수
부산광역시,해운대구,해운대구,수영,452000,6.046,2.509,3.537,58.5,5688,2103,3585,3585,0,903704,18493,0,18493,82,0,237,885211,510032,212649,162530
부산광역시,사하구,사하구,강변(장림),450000,22.088,11.098,10.99,49.8,14459,6902,7557,7557,0,891159,51200,0,51200,130,0,155,839959,608223,76374,155362
부산광역시,금정구,금정구,수영,452000,10.616,4.291,6.325,59.6,17279,5277,12002,12002,0,615024,22041,0,22041,217,0,258,592983,303427,70983,218573
부산광역시,강서구,강서구,봉림,30,0.018,0,0.018,100,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,강서구,강서구,두문,25,0.032,0,0.032,100,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,강서구,강서구,동선,35,0.034,0,0.034,100,56,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,강서구,강서구,범방,140,0.059,0,0.059,100,91,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,강서구,강서구,서부,15000,13.306,0.938,12.368,93,8531,6568,1963,1963,0,40229,40229,0,40229,0,0,0,0,0,0,0
부산광역시,강서구,강서구,녹산,160000,41.406,4.301,37.105,89.6,5493,3853,1640,1640,0,1351310,171495,0,171495,15,0,205,1179815,321693,615398,242724
부산광역시,강서구,강서구,세산,20,0.01,0,0.01,100,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,연제구,연제구,수영,452000,9.776,5.322,4.454,45.6,17557,9494,8063,8063,0,721694,19557,0,19557,45,0,346,702137,525595,115595,60947
부산광역시,수영구,수영구,남부,340000,4.589,4.537,0.052,1.1,3535,3126,409,409,0,7341,7341,0,7341,0,0,0,0,0,0,0
부산광역시,수영구,수영구,수영,452000,4.046,2.202,1.844,45.6,12351,9821,2530,2530,0,295967,10818,0,10818,85,0,56,285149,198964,21790,64395
부산광역시,사상구,사상구,강변(장림),450000,16.552,1.411,15.141,91.5,22157,7735,14422,14422,0,897478,23470,0,23470,266,0,366,874008,562061,69377,242570
부산광역시,기장군,기장군,일광,9000,2.259,0.934,1.325,58.7,553,440,113,113,0,5122,5122,460,4662,0,0,0,0,0,0,0
부산광역시,기장군,기장군,광산,70,0.078,0,0.078,100,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,동부,135000,0.279,0,0.279,100,98,88,10,10,0,716533,702,0,702,32,0,319,715831,153131,281219,281481
부산광역시,기장군,기장군,해운대,65000,0.368,0.091,0.277,75.3,81,51,30,30,0,987,987,0,987,0,0,0,0,0,0,0
부산광역시,기장군,기장군,동서,70,0.083,0,0.083,100,121,0,121,121,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,대룡,50,0.107,0,0.107,100,103,0,103,103,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,정관,40000,7.713,0,7.713,100,2427,294,2133,2133,0,9336,9336,0,9336,0,0,0,0,0,0,0
부산광역시,기장군,기장군,당곡,50,0.025,0,0.025,100,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,하근,210,0.18,0,0.18,100,136,0,136,136,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,수영,452000,0.16,0,0.16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,청광,50,0.016,0,0.016,100,53,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,문오성,1100,0.325,0,0.325,100,842,0,842,842,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,상장안,460,0.143,0,0.143,100,164,0,164,164,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,기룡,160,0.113,0,0.113,100,118,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,하리,60,0.016,0,0.016,100,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,기장,27000,3.499,1.108,2.391,68.3,3310,2678,632,632,0,15655,15655,3615,12040,0,0,0,0,0,0,0
부산광역시,기장군,기장군,도야,90,0.077,0,0.077,100,150,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,화전,70,0.053,0,0.053,100,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,기장군,산수곡,100,0.003,0,0.003,100,37,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,중구,중구,달서천,400000,4.14,4.14,0,0,6380,6380,0,0,0,155325.9,0,0,0,0,0,0,155325.9,155325.9,0,0
대구광역시,중구,중구,신천,680000,2.92,2.344,0.576,19.7,5132,4108,1024,1024,0,158785.1,6310,6310,0,6,0,3,152475.1,133190.1,0,19285
대구광역시,동구,동구,안심,47000,0.83,0,0.83,100,13120,4044,9076,9076,0,54947,16094,10861,5233,22,0,0,38853,0,19028,19825
대구광역시,동구,동구,신천,680000,38.4,29.61,8.79,22.9,21792,12962,8830,8830,0,859959,55145,17237,37908,34,0,0,804814,380234,200131,224449
대구광역시,서구,서구,서부,520000,2.95,2.48,0.47,15.9,4059,3422,637,637,0,139249,0,0,0,0,0,0,139249,126448,0,12801
대구광역시,서구,서구,달서천,400000,10.37,10.09,0.28,2.7,27708,27708,0,0,0,446438,4922,3909,1013,10,0,0,441516,433890,0,7626
