"시설별(1)","시설별(2)",시설별(3),자치구별(1),자치구별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"시설연장 (m)","소계",소계,합계,금천구,-,-,-,-,231888,231888,231888,231888,231888,231896,236556,236855,241817,245182,249029,249029,258233,258062,258852,259044,259217
"시설연장 (m)","소계",소계,합계,영등포구,-,-,-,-,444095,444933,445466,447182,447659,447854,464381,466076,471176,472961,467424,469073,497616,497409,495682,492759,493144
"시설연장 (m)","소계",소계,합계,동작구,-,-,-,-,310265,309446,309501,309525,310030,310030,334550,333536,330599,332201,331742,331749,336154,333186,333067,332326,330689
"시설연장 (m)","소계",소계,합계,관악구,-,-,-,-,393040,393194,393339,393282,392963,394297,401234,401168,406730,409135,406168,408058,432941,433195,433404,431069,432341
"시설연장 (m)","소계",소계,합계,서초구,-,-,-,-,356416,356541,357341,357404,357404,358435,521989,528219,532885,538319,540656,542729,588115,588142,589940,597690,602583
"시설연장 (m)","소계",소계,합계,강남구,-,-,-,-,618696,618696,618911,618911,619313,619956,641201,641287,644132,646648,664127,665311,710264,711668,721661,723869,731958
"시설연장 (m)","소계",소계,합계,송파구,-,-,-,-,533870,534123,534123,534123,534123,534123,546793,643855,650561,655839,656703,656703,691613,692283,710766,708734,706636
"시설연장 (m)","소계",소계,합계,강동구,-,-,-,-,396137,396343,398318,398550,398550,398968,412145,447143,441576,442198,443039,445126,472388,472942,471276,472950,474406
"시설연장 (m)","소계",소계,합계,중랑처리장,-,-,-,-,171416,171416,172746,173907,175922,182959,142283,182959,195422,195448,197960,197969,-,-,-,-,-
"시설연장 (m)","소계",소계,합계,탄천처리장,-,-,-,-,87069,87069,88137,88766,88766,88610,88610,97382,102923,104169,109317,109589,-,-,-,-,-
"시설연장 (m)","소계",소계,합계,서남처리장,-,-,-,-,90028,90740,90740,90667,90667,90667,90667,94487,102717,102978,108619,108595,-,-,-,-,-
"시설연장 (m)","소계",소계,합계,난지처리장,-,-,-,-,93890,93944,93944,93971,93944,93299,93299,93299,96613,99326,101148,101148,-,-,-,-,-
"보급률 (%)","소계",소계,합계,소계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,종로구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,중구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,용산구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9
"보급률 (%)","소계",소계,합계,성동구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9
"보급률 (%)","소계",소계,합계,광진구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,동대문구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8
"보급률 (%)","소계",소계,합계,중랑구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
